字母A
阿杜,#genre#
阿杜、江蕙 - 梦中的情话,https://cfss.cc/api/kg/1B515CEA3D84075E2FE4BA96CC89B32B.mp4
阿杜、江蕙 - 梦中的情话 - KTV版,https://cfss.cc/api/kg/A44239D3EE507FA3AEB18E15065AFA40.mp4
阿杜 - Andy,https://cfss.cc/api/kg/ABF9A8013AF6882B33EDCBEF5E30B6DE.mp4
阿杜 - 撕夜,https://cfss.cc/api/kg/46015707EDA782100636015D474EB215.mp4
阿杜 - 离别,https://cfss.cc/api/kg/67860E3E9C68A5684F59F0548D6B1980.mp4
阿杜 - 他一定很爱你,https://cfss.cc/api/kg/D97F31BCBF59F40952FE7FB50CB0899D.mp4
阿杜 - 天天看到你,https://cfss.cc/api/kg/797EE5543AFF9567DC871F15458A3D61.mp4
阿杜 - 坚持到底,https://cfss.cc/api/kg/7C96405CBA4839C83319163AD3109A25.mp4
阿杜 - 撕夜 - 现场版,https://cfss.cc/api/kg/ABBB59887C581D633684E93C87C1BE88.mp4
阿杜 - 撕夜,https://cfss.cc/api/kg/8AC3F284A54120D1FAF00A4EEB2AA8D1.mp4
球球是只猫 - 阿杜《离别》重置版,https://cfss.cc/api/kg/DB593F40953631BFDD8369E9D1FB040A.mp4
爱豆圈 - 阿杜《触不可及》现场版,https://cfss.cc/api/kg/9B27E6986C7EBAEA700B26580571E431.mp4
阿杜 - 你就像个小孩,https://cfss.cc/api/kg/787FD22AE73BE4ED9E68D7AECE58AE69.mp4
阿杜 - 天黑,https://cfss.cc/api/kg/847BB724A02D85B72FA59E7697D13E37.mp4
阿杜 - Andy,https://cfss.cc/api/kg/E600BFBBFE291539962600FDD8AADB95.mp4
阿杜、江蕙 - 梦中的情话 - KTV版,https://cfss.cc/api/kg/A44239D3EE507FA3AEB18E15065AFA40.mp4
阿杜 - 相容,https://cfss.cc/api/kg/1A61D1695C19A2F652253A5D9E7341A3.mp4
阿杜 - 他一定很爱你 - 《男才女貌》主题曲,https://cfss.cc/api/kg/7F32F5506177B0696FD260E813E84159.mp4
阿杜、庞龙、何润东、伍思凯、苏醒、韩庚 - 兄弟干杯 - 2008奥运倒计时100天文艺晚会,https://cfss.cc/api/kg/1FADBED1F804E23DE2FC0B506D6333D9.mp4
执笔绘往昔 - 好久不见，不知道还是不是大家记忆里的声音。用这把“烟嗓”，唱那份深情的阿杜，依旧在这里。 #时光音乐会#,https://cfss.cc/api/kg/1C185C58090D62CD0901F2E5B9721C72.mp4
阿杜、庞龙、何润东、伍思凯、苏醒、韩庚 - 兄弟干杯 - 2008奥运倒计时100天文艺晚会,https://cfss.cc/api/kg/1FADBED1F804E23DE2FC0B506D6333D9.mp4
阿杜-为爱投降,http://em.21dtv.com/songs/60145730.mkv
阿杜-烂好人,http://em.21dtv.com/songs/60136989.mkv
阿杜-一诺千年,http://em.21dtv.com/songs/60136988.mkv
阿杜-电台情歌+水晶+爱情+如果·爱+我愿意,http://em.21dtv.com/songs/60080074.mkv
麦霸阿杜-别伤一个爱你的女人心,http://em.21dtv.com/songs/60108178.mkv
麦霸阿杜-我那么爱你你都不珍惜,http://em.21dtv.com/songs/60065097.mkv
麦霸阿杜-我的爱情被你亲手埋葬,http://em.21dtv.com/songs/60066397.mkv
阿杜-下雨的时候会想你,http://em.21dtv.com/songs/60048340.mkv
阿杜-我在你的爱情之外,http://em.21dtv.com/songs/60046786.mkv
阿杜-下次如果离开你,http://em.21dtv.com/songs/60048267.mkv
